image_id,image_path,is_train,bbox_x,bbox_y,bbox_w,bbox_h
1,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,60.0,27.0,325.0,304.0
2,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,139.0,30.0,153.0,264.0
3,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,0,14.0,112.0,388.0,186.0
4,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,112.0,90.0,255.0,242.0
5,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,70.0,50.0,134.0,303.0
6,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,33.0,53.0,251.0,395.0
7,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,7.0,75.0,420.0,262.0
8,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,78.0,86.0,333.0,158.0
9,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,112.0,76.0,221.0,189.0
10,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,0,27.0,4.0,199.0,201.0
11,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1,1.0,52.0,342.0,260.0
