image_id,image_path,bbox_x,bbox_y,bbox_w,bbox_h,class_idx
2,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,139.0,30.0,153.0,264.0,0
4,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,112.0,90.0,255.0,242.0,0
5,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,70.0,50.0,134.0,303.0,0
7,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,7.0,75.0,420.0,262.0,0
8,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,78.0,86.0,333.0,158.0,0
9,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,112.0,76.0,221.0,189.0,0
11,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1.0,52.0,342.0,260.0,0
15,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,23.0,80.0,395.0,237.0,0
18,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,45.0,58.0,254.0,249.0,0
20,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,23.0,195.0,255.0,122.0,0
21,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,11.0,77.0,281.0,139.0,0
23,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,154.0,93.0,188.0,165.0,0
30,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,90.0,29.0,224.0,211.0,0
31,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,38.0,15.0,314.0,301.0,0
32,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,20.0,91.0,416.0,203.0,0
35,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,19.0,18.0,464.0,294.0,0
36,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,72.0,40.0,286.0,225.0,0
37,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,216.0,119.0,221.0,154.0,0
40,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,130.0,29.0,202.0,393.0,0
41,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,53.0,46.0,302.0,317.0,0
42,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,25.0,17.0,368.0,299.0,0
43,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,137.0,64.0,287.0,156.0,0
46,/home/lehoangvu/Project_AIDE1/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,13.0,28.0,212.0,283.0,0
